,Artist,Song,Days,T10,Pk,Total,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
662,Brenda Lee,Rockin' Around The Christmas Tree - Single Version,65,1.0,4,60170705,3T7dNA7O8c3Axj5WyDNcH3,0.706,0.703,125827,0.407,0.0,8,0.45,-12.155,1,0.0504,140.057,4,0.849
663,Lil Uzi Vert,Money Longer,166,,104,60012702,0B8QzDH7YWih85V5SEMnyJ,0.0541,0.795,198944,0.568,0.0,5,0.108,-7.817,0,0.142,136.173,4,0.478
664,Thalía,Desde Esa Noche,173,,123,59531538,1pWYnQIlqxTh5bxuPmTG4E,0.171,0.78,227693,0.929,0.0,11,0.0677,-0.739,0,0.0532,95.012,4,0.837
665,Enrique Iglesias,EL BAÑO,46,,36,59476804,2vvdTrdryjsl8DmPIMDWZU,0.132,0.719,228139,0.842,0.0,6,0.105,-3.562,0,0.0383,90.017,4,0.534
666,Justin Bieber,Purpose,104,,22,59371783,3jHCXrZNz8fQEEf4BpWCAj,0.9,0.481,210160,0.285,0.0,0,0.123,-10.848,1,0.0424,130.029,4,0.316
667,Alvaro Soler,Sofia,132,,87,59116683,1VoHrSS3QQ6TbpabLrFiYb,0.127,0.691,210467,0.72,0.0,2,0.15,-5.918,1,0.0324,128.014,4,0.906
668,Isaiah,It's Gotta Be You,84,,60,59090169,6cAKeFFYW2aClZSUyvqAEW,0.221,0.433,193447,0.745,0.0,8,0.0981,-4.632,1,0.0377,95.472,4,0.588
669,Terror Jr,Come First,108,,62,58881988,5fo4LbJ8lOaB54wcM5wPMv,0.111,0.905,171845,0.216,0.000597,5,0.0911,-11.331,0,0.16,95.048,4,0.392
670,Olly Murs,Wrapped Up,124,,20,58622895,6wMeMFLaD4NCxXzkXgkuM1,0.0866,0.787,185773,0.85,0.0,1,0.103,-4.681,1,0.0549,122.024,4,0.929
671,David Guetta,Dirty Sexy Money,88,,81,58569286,0tPQPaOKM32WgMSbPCYyRH,0.0789,0.721,172687,0.873,0.0,1,0.0824,-4.741,1,0.119,79.943,4,0.552
672,Blackbear,do re mi,82,,71,58326775,6CUBgX8bXC5YQCkdgRHqyg,0.00483,0.745,212027,0.595,1.13e-05,8,0.125,-6.35,1,0.0486,110.966,3,0.169
673,Sia,Alive,169,,57,57925294,05cXQMJcrM9msUYu11mOrs,0.289,0.32,263893,0.752,0.000101,6,0.102,-4.91,0,0.056,98.88,4,0.392
674,Iggy Azalea,Fancy,99,2.0,7,57907610,3sP10QGbhzgW966egoIjcA,0.0823,0.927,219789,0.654,0.0,8,0.0456,-5.356,1,0.133,94.999,4,0.309
675,Grace,You Don't Own Me,112,,58,57695937,6KI1ZpZWYAJLvmVhCJz65G,0.159,0.332,201493,0.635,2.79e-06,7,0.0599,-5.653,1,0.0898,186.249,3,0.261
676,Tiësto,Wasted,189,,15,57443398,7m3povhdMDLZwuEKak0l0n,0.00155,0.642,190014,0.819,0.00144,2,0.197,-5.459,1,0.0313,112.004,4,0.359
677,Nelly,The Fix,161,,75,57275712,33QRsLBBdWDYgCZfWEZqR6,0.0485,0.812,173045,0.479,0.0,8,0.102,-6.47,1,0.0429,95.505,4,0.0873
678,Robin Schulz,Sun Goes Down,220,,49,57271886,4zLBcDtvYNVtF9fnG6lme3,0.0969,0.548,179960,0.723,1.28e-05,6,0.337,-6.002,1,0.0375,125.088,4,0.499
679,Galantis,Hunter,102,,102,57224806,3caMfJGFp53NAH2TuigdNj,0.186,0.509,183229,0.712,0.0,7,0.102,-5.747,1,0.111,99.831,4,0.653
680,Pitbull,Fun,150,,32,57099838,6Zo3wgDE076K2AuiGZF3CS,0.156,0.793,202307,0.774,0.0,0,0.193,-3.667,0,0.0478,113.967,4,0.547
681,Matoma,Old Thing Back,136,,36,56533197,6HTJZ0TQJVMSKkUGzAOe2h,0.194,0.805,321649,0.858,7.89e-06,0,0.256,-3.067,1,0.105,97.033,4,0.523
682,Jason Derulo,Try Me,179,,51,56511195,4tg1G3X26wDTmQbipgxhp5,0.0157,0.579,200240,0.68,0.0,8,0.0699,-5.634,1,0.076,100.033,4,0.211
683,Nicki Minaj,The Night Is Still Young,166,,51,56463958,4bBrKDo8rchikwZOtmXbIH,0.00236,0.648,227560,0.722,0.00611,1,0.141,-6.083,0,0.054,127.968,4,0.669
684,Drake,Childs Play,134,,58,55911012,0k9RIzZtAo4DTQu0ZM6lNZ,0.0163,0.74,241400,0.47,4.75e-06,1,0.199,-11.173,1,0.15,80.016,4,0.294
685,Lauv,The Other,97,,92,55778306,3ZD3kjn80pQ9keYO8eqp9d,0.421,0.38,189333,0.553,2.63e-06,7,0.0788,-6.621,1,0.0653,179.629,4,0.384
686,Iggy Azalea,Fancy,193,,22,55662484,5PXSB2YH4hXU3WcPAoY9zz,0.0949,0.909,199938,0.713,0.0,10,0.0475,-4.169,0,0.0642,94.968,4,0.391
687,Kiesza,Hideaway,182,,27,55607323,7jjoaCQZ9QwpCF6aibDuCV,0.0939,0.861,251987,0.592,0.0126,7,0.065,-6.956,0,0.0472,122.967,4,0.202
688,Martin Garrix,Don't Look Down,135,,36,55555789,5M9jOReAKGZ2AttVefFjTY,0.00406,0.575,223140,0.831,0.000449,0,0.111,-5.972,1,0.0356,127.991,4,0.377
689,Alan Walker,Tired,96,,104,55411812,3b5Li4QKDVBx1x7fQuu54a,0.0428,0.69,192112,0.876,0.0,2,0.147,-4.159,1,0.059,123.994,4,0.493
690,Maluma,El Perdedor,140,,77,55406402,1iEwyiSLAunPR6uouANE0O,0.425,0.702,206693,0.73,1.25e-06,0,0.148,-5.173,0,0.099,173.967,4,0.879
691,Sigala,Sweet Lovin',133,,56,55033354,614TxLN6BP9nN8pFcPdLVE,0.0553,0.683,202149,0.91,4.78e-06,10,0.336,-1.231,1,0.0515,124.977,4,0.674
692,Maroon 5,This Summer,118,,34,54415332,5NUlOzzMdoIABFTnhizCQa,0.000248,0.54,224399,0.766,0.0,4,0.641,-5.148,0,0.07,98.932,4,0.176
693,Reik,Ya Me Enteré - Urban Version,127,,103,54202719,2SSYqDX8KTgy01NlqtUo0F,0.234,0.768,219227,0.742,0.0,9,0.14,-6.308,1,0.0443,114.679,5,0.797
694,Charly Black,Gyal You A Party Animal - Remix,107,,114,54186318,1AkTW13ysu0AJrwuM6UY0I,0.0673,0.723,224320,0.889,0.0,0,0.363,-4.017,1,0.0939,101.032,4,0.701
695,Yandel,Como Antes,95,,116,54071342,5YzA563GXTuwQaRq24z1k5,0.182,0.813,210773,0.876,0.0,1,0.394,-4.278,0,0.172,94.987,4,0.746
696,Capital Cities,Safe And Sound,241,,77,53927134,6Z8R6UsFuGXGtiIxiD8ISb,0.000194,0.656,192790,0.821,0.00232,0,0.101,-4.838,1,0.0325,117.948,5,0.791
697,2 Chainz,4 AM,86,,72,53894015,1nX9KhK3Fff27SnrIor2Yb,0.122,0.796,255560,0.513,0.0,6,0.15,-7.14,0,0.452,75.018,4,0.235
698,Hailee Steinfeld,Rock Bottom,123,,75,53842881,2qxaR31Te4xDR2yO6LqM8z,0.285,0.598,198240,0.694,0.0,8,0.0551,-5.075,1,0.0583,157.979,4,0.669
699,DJ Snake,Turn Down for What,240,,35,53832569,67awxiNHNyjMXhVgsHuIrs,0.00107,0.818,213733,0.799,0.128,1,0.057,-4.1,0,0.156,100.014,4,0.0815
700,Little Mix,Secret Love Song,164,,115,53266488,4JIo8RztBbELr2gWJ5OGK6,0.259,0.534,249813,0.642,0.0,9,0.29,-3.971,1,0.0504,92.963,4,0.131
701,Flo Rida,Cake,87,,84,53120525,6t2ubAB4iSYOuIpRAOGd4t,0.0729,0.786,157165,0.854,1.63e-06,2,0.179,-4.247,1,0.0523,105.078,4,0.687
702,Charli XCX,Boom Clap,118,,31,52929843,63bniwRWWFGoasyhX2eQHJ,0.0688,0.675,169293,0.812,0.00062,4,0.336,-4.309,1,0.0566,92.013,4,0.64
703,Jason Derulo,Get Ugly,118,,55,52572281,1dl3vuXJS9anUXE7XnNP75,0.0462,0.75,200492,0.683,1.32e-06,9,0.297,-4.829,0,0.12,111.066,4,0.539
704,Hearts & Colors,Lighthouse - Andrelli Remix,82,,68,52453140,04CttTezSnv71USiiG9mIo,0.0178,0.595,218447,0.662,0.0,11,0.0804,-6.858,0,0.0362,96.053,4,0.417
705,Trey Songz,Slow Motion,168,,54,52440152,4NYwy0R3NdvORX2B6OZXBT,0.679,0.733,197854,0.408,3.92e-05,7,0.11,-7.834,0,0.0388,94.947,4,0.291
706,Ed Sheeran,Nancy Mulligan,50,,23,52413907,35QZaWQRkmnAVqBF1TLCxQ,0.117,0.68,179787,0.852,0.0,7,0.0866,-4.35,1,0.0349,101.993,4,0.858
707,Melanie Martinez,Pity Party,114,,79,52390863,3fo6DYGktjENCiagUeU9yH,0.058,0.716,204086,0.73,7.32e-06,6,0.151,-4.126,0,0.0364,136.05,4,0.339
708,Jay Rock,King's Dead,46,,26,52149559,51rXHuKN8Loc4sUlKPODgH,0.000874,0.563,229670,0.717,0.0,1,0.183,-5.186,1,0.337,82.064,4,0.427
709,Justin Bieber,Mark My Words,87,,16,52145351,5JcxAgRw2S3hb67AA8Vk13,0.88,0.383,134347,0.256,2.69e-06,0,0.169,-8.572,1,0.0332,114.188,4,0.519
710,Lorde,Royals,220,,72,52133370,7BFI9QZPQKgYuR2HhDgwbG,0.105,0.634,190185,0.427,0.0,7,0.132,-9.543,1,0.138,84.849,4,0.325
711,Imagine Dragons,Warriors,163,,29,52096591,5MVkWRKMBO3r05oihuNbzM,0.0674,0.347,170067,0.83,0.00463,4,0.201,-6.218,0,0.0633,78.06,4,0.312
712,Future,Wicked,130,,91,51990100,6BbINUfGabVyiNFJpQXn3x,0.00191,0.718,173347,0.679,0.0104,11,0.385,-5.899,0,0.0706,157.97,4,0.205
713,Blackbear,do re mi,94,,107,51921110,53mrVsi49rLHIaKBiSvElG,0.00572,0.74,233705,0.657,0.0,8,0.211,-6.309,1,0.0595,112.016,3,0.179
714,John Lennon,Happy Xmas (War Is Over) - 2010 Digital Remaster,67,2.0,7,51865539,3zJw3rugfpVrmBeDDnUYzy,0.319,0.328,213880,0.607,0.0,2,0.765,-11.076,1,0.0315,146.539,3,0.395
715,Metro Boomin,No Complaints,92,,74,51764943,6kig1UFggPUyZBCvXD3Wod,0.0855,0.914,261733,0.507,0.0254,2,0.0797,-10.784,1,0.164,123.956,4,0.199
716,Jason Mraz,I'm Yours,269,,116,51589916,1EzrEOXmMH3G43AXT1y7pA,0.595,0.686,242187,0.457,0.0,11,0.105,-8.322,1,0.0468,150.953,4,0.718
717,James Hersey,Miss You,107,,84,51576328,6giHzoNmL0kwyBZAXGIIc2,0.0929,0.871,206099,0.595,0.00422,5,0.107,-7.618,0,0.0552,120.011,4,0.623
718,Jason Derulo,Trumpets,167,,29,51539244,6jizk5lOUnfpaZXYMdfeC6,0.563,0.627,217307,0.703,0.0,0,0.0962,-4.884,1,0.236,81.897,4,0.64
719,Madden,Golden Light,116,,70,51535440,3T8j0WDSw7G98rNLAe2M2X,0.012,0.706,207291,0.897,1.01e-06,8,0.343,-2.539,0,0.0349,125.002,4,0.626
720,Adele,Rolling in the Deep,168,,63,51473235,1CkvWZme3pRgbzaxZnTl5X,0.131,0.729,228293,0.756,0.0,8,0.0527,-5.119,1,0.0294,104.945,4,0.522
721,Justin Bieber,No Pressure,87,,21,51230800,10SDxx0CFWGqgVVBeX22TP,0.121,0.644,286853,0.595,0.0,1,0.279,-6.877,1,0.215,148.889,3,0.554
722,Drake,Free Smoke,45,3.0,3,50796011,05KOgYg8PGeJyyWBPi5ja8,0.0621,0.617,218674,0.492,0.0,10,0.484,-7.588,0,0.448,141.953,4,0.208
723,Camila Cabello,OMG,69,,60,50758191,4xBjsLUSjcx2h7PcRikpQp,0.0295,0.655,228893,0.576,0.115,5,0.132,-6.735,0,0.0536,139.953,4,0.167
724,Nause,Dynamite,87,,69,50717372,2Ae5awwKvQpTBKQHr1TYCg,0.0548,0.811,195429,0.801,2.09e-05,9,0.0742,-6.0,0,0.0802,105.055,4,0.693
725,Bruno Mars,Locked Out Of Heaven,234,,83,50703668,3w3y8KPTfNeOKPiqUTakBh,0.049,0.726,233478,0.698,0.0,5,0.309,-4.165,1,0.0431,143.994,4,0.867
726,Taylor Swift,Gorgeous,52,1.0,7,50121608,5Gd19NupVe5X8bAqxf9Iaz,0.0652,0.791,209680,0.529,1.25e-05,7,0.218,-6.87,1,0.175,91.981,4,0.428
727,Justin Timberlake,Say Something,32,,21,50067804,1LhMopPAallLeaeNutqbgS,0.103,0.707,278893,0.632,1.09e-05,10,0.0841,-7.031,1,0.0789,97.04,4,0.372
728,Deorro,Bailar,116,,90,49954733,45sGyAtAxD6efaN0bJAFgh,0.0485,0.799,137661,0.738,0.34,9,0.0603,-9.043,1,0.118,128.051,4,0.397
729,Ed Sheeran,Hearts Don't Break Around Here,47,,19,49746858,2dfHh7ECGxfNqZTQno09Vk,0.719,0.604,248413,0.366,0.0,7,0.162,-7.881,1,0.0267,105.177,3,0.181
730,Tori Kelly,Hollow,149,,80,49646117,160hN2OsDXnmgExwtG7cvD,0.0187,0.61,210606,0.664,0.0049,2,0.473,-6.838,0,0.0372,126.085,4,0.426
731,The Pogues,Fairytale Of New York,80,,18,49606159,3VTNVsTTu05dmTsVFrmGpK,0.501,0.319,272200,0.651,4.73e-05,2,0.241,-6.335,1,0.0342,118.501,4,0.474
732,Playboi Carti,wokeuplikethis*,102,,133,49532690,59J5nzL1KniFHnU120dQzt,0.0133,0.785,235535,0.622,0.0,8,0.154,-6.741,1,0.254,78.475,4,0.466
733,Felix Jaehn,Bonfire,100,,72,49452093,5hz9DEkahyWoTs3rxJOTtw,0.064,0.771,183003,0.785,1.27e-05,2,0.085,-3.915,0,0.0832,111.065,4,0.334
734,Fergie,L.A.LOVE (la la),152,,44,49332738,4RZMYKoQiDH27kh6UoIrI2,0.0183,0.478,192653,0.386,0.0,4,0.264,-7.999,0,0.0893,201.753,4,0.268
735,The Weeknd,Rockin’,55,,12,49246831,5HR4CYT5nPpFy8m9wJQgrr,0.0123,0.737,232880,0.881,0.0,9,0.0806,-5.567,0,0.227,112.992,4,0.768
736,Andy Grammer,"Honey, I'm Good.",142,,52,49128242,4orphgwPHHRsdEkfUmANSD,0.0378,0.753,199263,0.796,0.0,9,0.331,-6.406,1,0.0576,122.025,4,0.605
737,Rihanna,American Oxygen,87,,17,48907085,539HpTjkmnhbPn3p7mjByN,0.0508,0.232,320161,0.744,0.0,2,0.266,-6.227,1,0.114,78.921,4,0.522
738,Fat Joe,All The Way Up,145,,111,48811402,61QSuw5VlC0LTS8WMO356g,0.062,0.536,191942,0.721,0.0,10,0.824,-6.44,0,0.386,117.139,5,0.393
739,Ariana Grande,Everyday,79,,82,48748546,6yL2kTsdVwYnGwPkKGtMd5,0.0176,0.64,194840,0.742,0.0,7,0.157,-4.461,0,0.0488,130.972,4,0.403
740,BTS,MIC Drop,63,,75,48662188,7Ed6BkggCS2KaKY5YlINaF,0.0157,0.613,238726,0.842,0.0,10,0.23,-4.332,0,0.219,169.917,4,0.645
741,Drake,Hype,87,,38,48495893,07GilNHSfS5oicUgHgU7VG,0.0226,0.79,209413,0.62,0.0,7,0.365,-8.278,1,0.195,129.959,4,0.236
742,SeeB,Breathe,119,,86,48379563,6s5smacBOoWoI08Vi6EX5T,0.00583,0.525,240272,0.773,6.04e-06,7,0.229,-5.623,0,0.185,119.947,4,0.381
743,Hugh Jackman,The Greatest Show,57,,63,48302146,43ay9lQZ5rfNcOOHhRF2cM,0.000239,0.417,302147,0.824,0.0545,11,0.0725,-7.36,0,0.105,157.92,4,0.4
744,Bastille,Good Grief,121,,80,48135562,7n9bPHZvl5UvmLPhNjUH1C,0.17,0.73,206500,0.775,0.0,1,0.29,-4.821,1,0.0782,120.053,4,0.92
745,LANY,Super Far,82,,111,47730124,74ODGXs4byLTRdnKGM4s6E,0.105,0.754,203650,0.458,0.0,8,0.249,-6.852,1,0.144,96.011,4,0.495
746,Linkin Park,In The End,66,1.0,8,47694808,60a0Rd6pjrkxjPbaKzXjfq,0.0113,0.553,219000,0.9,0.0,3,0.322,-4.556,0,0.0584,105.213,4,0.398
747,A Great Big World,Say Something,229,,77,47432368,6Vc5wAMmXdKIAM7WUoEb7N,0.857,0.407,229400,0.147,2.89e-06,2,0.0913,-8.822,1,0.0355,141.284,3,0.0765
748,Imany,Don't Be So Shy - Filatov & Karas Remix,85,,67,47390233,5Sod5qQTp8Nj4n5dTjttQG,0.034,0.737,190000,0.954,0.0103,8,0.412,-2.936,0,0.05,119.979,4,0.904
749,Chris Rea,Driving Home For Christmas,65,1.0,8,47333961,0ZoHHROTzwIYeNAHRPedTY,0.556,0.603,239947,0.705,0.000123,9,0.342,-7.547,1,0.0328,90.12,4,0.89
750,Lil Uzi Vert,Sauce It Up,83,,53,47144240,1uL78kFWxhz3umTMWJu8n5,0.0715,0.813,207039,0.528,0.0,6,0.125,-6.305,0,0.313,79.532,4,0.131
751,KREAM,Taped Up Heart,101,,99,46993437,26hcyzSE154xMZCbFdtInA,0.152,0.675,218507,0.937,0.0,0,0.154,-3.525,0,0.0509,103.961,4,0.567
752,BlocBoy JB,Look Alive,18,15.0,7,46990865,4qKcDkK6siZ7Jp1Jb4m0aL,0.00104,0.922,181263,0.581,5.86e-05,10,0.105,-7.495,1,0.27,140.022,4,0.595
753,Katy Perry,Roar,230,,79,46919514,6F5c58TMEs1byxUstkzVeM,0.00569,0.671,223546,0.766,6.85e-06,7,0.549,-4.81,0,0.0323,89.968,4,0.371
754,Fais,Hey,119,,89,46855652,3jpViAo0HZOdT7Flyfne6j,0.16,0.7,215625,0.571,8.77e-05,6,0.111,-6.575,0,0.0408,128.046,4,0.381
755,Sam Smith,Money On My Mind,177,,40,46817829,6vgdsUtEcdRJtXbr1w9RT1,0.246,0.641,194080,0.81,0.000218,2,0.163,-6.203,1,0.204,133.535,4,0.733
756,Madeintyo,Uber Everywhere,119,,96,46760590,7zBPzAjKAqQpcv8F8GCq5s,0.0542,0.779,153429,0.455,0.0,1,0.177,-15.025,1,0.28,140.181,4,0.197
757,Ozuna,Quiero Repetir,61,,79,46482169,0MIcPSq9n2z5H8TAfEstri,0.103,0.608,200987,0.753,0.0,0,0.0996,-4.748,0,0.368,97.626,4,0.482
758,Drake,Get It Together,44,,11,46263189,7y6c07pgjZvtHI9kuMVqk1,0.0896,0.78,250337,0.729,0.422,5,0.104,-9.138,0,0.0493,123.009,4,0.844
759,Drake,With You,100,,46,46242200,5PMNu7kMZ4msbxiKnDTOt0,0.145,0.874,195053,0.406,0.000242,1,0.112,-10.025,1,0.266,127.978,4,0.801
760,Fetty Wap,My Way,138,,59,46068459,1WoOzgvz6CgH4pX6a1RKGp,0.00419,0.748,213053,0.741,0.0,6,0.147,-3.103,1,0.0531,128.077,4,0.537
761,Troye Sivan,My My My!,47,,25,46049085,2Tq2R8sRftNEqdgJK5HadO,0.00433,0.699,204727,0.479,9.58e-05,1,0.0435,-7.83,1,0.0919,102.959,4,0.462
762,Pitbull,Fireball,154,,34,45851438,4Y7XAxTANhu3lmnLAzhWJW,0.0908,0.761,236200,0.933,8.53e-05,10,0.0606,-5.38,1,0.056,122.959,4,0.836
763,José Feliciano,Feliz Navidad,66,,12,45797927,7taXf5odg9xCAZERYfyOkS,0.534,0.485,182360,0.857,0.0,2,0.347,-7.059,1,0.0442,148.749,4,0.963
764,Migos,Narcos,32,,15,45797135,0wbnC9AUenxp613TYaJsGK,0.0146,0.936,255379,0.588,0.0,7,0.139,-6.948,0,0.136,124.987,4,0.238
765,Lunchmoney Lewis,Bills,131,,52,45707416,7rlCeTnjn0plPZkVAcctPZ,0.274,0.699,204600,0.747,0.0,5,0.486,-3.453,1,0.0964,126.001,4,0.683
766,A R I Z O N A,Oceans Away,78,,97,45565408,4NJpJ17Dgm5r4OYExFbxLk,0.141,0.632,193982,0.647,0.104,8,0.0908,-8.587,1,0.0294,105.945,4,0.221
767,Bobby Helms,Jingle Bell Rock,75,1.0,5,45558287,74u8cWJGP8d8xsdD0pFoWg,0.84,0.744,130107,0.368,0.0,2,0.0632,-10.538,1,0.0345,118.743,4,0.815
768,Vigiland,Shots & Squats,117,,39,45548699,3FS2e59gXFXrcg7sN2mL5z,0.00824,0.818,171799,0.819,0.000392,1,0.225,-5.052,1,0.116,128.02,4,0.279
769,Møme,Aloha,124,,113,45487493,2UMZjhZWNxZezcZiZvyvsZ,0.221,0.551,218400,0.727,3.43e-05,10,0.12,-5.903,0,0.201,100.394,4,0.4
770,Lady Gaga,Perfect Illusion,64,,24,45429021,4lkDky0afnOb8QZZsbeS2Y,0.00129,0.614,181507,0.85,0.0,1,0.357,-5.498,0,0.0369,124.999,4,0.736
771,Cashmere Cat,Quit,63,,61,45386515,4Q5yMlwAfAoitqg4r9oZHN,0.103,0.365,258188,0.413,3.13e-05,0,0.103,-7.369,0,0.0507,84.746,3,0.125
772,Ed Sheeran,Eraser,39,,11,45315505,7oolFzHipTMg2nL7shhdz2,0.086,0.64,227427,0.812,0.0,8,0.0509,-5.647,0,0.0834,86.013,4,0.914
773,Kendrick Lamar,XXX. FEAT. U2.,42,,15,45178723,4iYRa2btalAzPZoSYfROqF,0.148,0.65,254200,0.618,1.69e-06,8,0.11,-6.975,1,0.357,129.989,4,0.297
774,Ozuna,Síguelo Bailando,61,,55,44961409,5Y9fnynLlIvqtM710MHzfz,0.165,0.855,226800,0.664,3.97e-05,9,0.0937,-7.11,0,0.0607,98.015,4,0.626
775,Nico & Vinz,That's How You Know,107,,53,44910394,3icbmPGKTsKAa0IinkizCM,0.44,0.769,186443,0.437,0.0,1,0.116,-6.406,1,0.0363,103.921,4,0.737
776,Nicki Minaj,Bed Of Lies,122,,30,44848086,6YNkwr96tYhGp76j8kceR1,0.276,0.519,269987,0.665,0.0,11,0.1,-5.759,1,0.337,171.816,4,0.115
777,Justin Timberlake,Filthy,42,,13,44843890,1L3NV7VrCiuE8C5QlhdeQL,0.0354,0.745,293947,0.579,0.0118,1,0.246,-5.771,1,0.138,97.002,4,0.645
778,Drake,Teenage Fever,47,,20,44637641,6n3HGiq4v35D6eFOSwqYuo,0.11,0.768,219692,0.282,0.0208,8,0.113,-10.348,0,0.0863,97.043,4,0.175
779,Kelly Clarkson,Heartbeat Song,115,,18,44597660,7FC9Lng8iXU081lbigu8m8,0.0137,0.49,198733,0.798,0.0,6,0.0627,-3.66,1,0.0489,149.109,4,0.479
780,Jeremih,Planes,157,,86,44479760,75rDNLl8v6qVYHXGzfHv4c,0.746,0.663,240027,0.638,0.0,1,0.103,-4.505,1,0.244,128.804,4,0.517
781,Britney Spears,Make Me...,73,,51,44448513,0YSJCrlSWF3meRTNCu54WI,0.157,0.697,231266,0.7,0.0,7,0.217,-6.651,0,0.0985,123.013,4,0.577
782,MØ,Nights With You,73,,102,44380994,5q5gzmbBS5yQzos2BvVr1t,0.401,0.763,197495,0.671,1.16e-05,1,0.375,-4.029,0,0.1,120.06,4,0.602
783,J. Cole,Wet Dreamz,213,,72,44292713,6Ius4TC0L3cN74HT7ENE6e,0.0752,0.504,239320,0.705,0.0,6,0.128,-8.205,0,0.364,175.483,4,0.584
784,Camila Cabello,She Loves Control,46,,32,44055093,5HwnezK198pJCEj1l2Adjy,0.166,0.65,177160,0.758,0.0,2,0.0889,-4.02,1,0.116,94.9,4,0.663
785,Karol G.,Ahora Me Llama,83,,130,43960365,61HHDBLqF3AmSvLfHKNGd2,0.0073,0.664,233293,0.576,6.28e-05,7,0.0912,-5.395,0,0.0349,134.934,4,0.121
786,Kendrick Lamar,King Kunta,137,,12,43954379,0N3W5peJUQtI4eyR6GJT5O,0.00515,0.881,234693,0.658,0.0,11,0.203,-4.53,0,0.101,107.052,4,0.486
787,Nicki Minaj,Truffle Butter,144,,58,43788176,3keUgTGEoZJt0QkzTB6kHg,0.0525,0.896,219227,0.672,3.14e-05,10,0.12,-6.875,0,0.0479,105.098,4,0.523
788,Drake,Grammys,76,,43,43699124,2JfeUjJvP1lJkCSne9g0de,0.00199,0.676,220427,0.43,2.46e-06,1,0.08,-9.533,1,0.525,145.802,4,0.116
789,J Balvin,6 AM,237,,122,43606980,3uvypVUsiIr1B0BccIcsEh,0.147,0.812,243227,0.743,0.0,5,0.274,-5.053,0,0.0876,88.032,4,0.731
790,Major Lazer,Sua Cara,74,,88,43234915,3ibRxEv4KkcU9e259eyNJA,0.00812,0.789,167311,0.767,0.000348,9,0.101,-4.612,0,0.0715,99.957,4,0.637
791,Sam Smith,Latch - Acoustic,200,,81,43219151,7cG68oOj0pZYoSVuP1Jzot,0.981,0.418,223429,0.243,0.000282,8,0.113,-8.689,1,0.0275,97.811,4,0.276
792,Rae Sremmurd,This Could Be Us,120,,56,43101409,4jTiyLlOJVJj3mCr7yfPQD,0.275,0.718,206307,0.692,0.0,5,0.118,-5.06,0,0.148,142.992,4,0.721
793,Naughty Boy,Runnin' (Lose It All),132,,65,43069887,0H2BuFu2MuJfnF1yHKjBcp,0.00844,0.318,213019,0.851,6.93e-05,6,0.407,-6.047,1,0.077,139.42,4,0.082
794,Pitbull,Fireball,81,,14,43066498,49eplIHvgCLY8HAgcaWrUb,0.0894,0.69,235012,0.937,0.000104,10,0.0532,-5.393,1,0.0642,122.951,4,0.794
795,Drake,Right Hand,142,,68,42990158,3lSR267IJfT54p0Gfuw7mi,0.0978,0.901,190595,0.292,0.0,2,0.0816,-7.74,1,0.289,100.54,4,0.338
796,Future,Used to This,95,,70,42949930,3V8sM5OOG6YfDuDLa2IIYJ,0.0312,0.618,180520,0.727,0.0,3,0.196,-7.224,0,0.208,164.992,4,0.401
797,Dua Lipa,Hotter Than Hell,101,,83,42802816,1z5jOmNswvnzjC5gFLu5Dv,0.011,0.532,187958,0.868,0.0,3,0.0584,-4.23,0,0.0908,110.127,4,0.529
798,Ziv Zaifman,A Million Dreams,56,,81,42646847,0RoA7ObU6phWpqhlC9zH4Z,0.243,0.265,269453,0.312,0.0,7,0.0893,-11.689,1,0.0569,54.747,3,0.0998
799,Young Thug,Relationship,82,,137,42636931,25oOaleife6E2MIKmFkPvg,0.00252,0.842,215307,0.597,0.0,2,0.124,-6.336,1,0.0627,145.992,4,0.298
800,J Balvin,Ay Vamos,181,,101,42622320,6Ges5C2IE738iJh4HyQizQ,0.174,0.718,226413,0.702,0.00011,8,0.111,-5.719,0,0.116,173.928,4,0.879
801,Bausa,Was du Liebe nennst,65,,87,42537253,4hKWUzhQWsOkgT6LnDEASe,0.393,0.874,203630,0.487,2.96e-05,2,0.0524,-8.154,1,0.0641,144.956,4,0.746
802,Ellie Goulding,Something In The Way You Move,115,,64,42477187,3ZCDG0nujwGfxrEmZlZoEt,0.0419,0.661,227423,0.819,0.0,1,0.114,-6.118,0,0.0476,108.985,4,0.332
803,Kid Ink,Promise,130,,110,42434638,5IZc3KIVFhjzJ0L2kiXzUl,0.0599,0.797,224240,0.469,0.0,8,0.0753,-8.112,1,0.0646,103.057,4,0.481
804,Kanye West,Waves,89,,47,42433170,0T3ruvJQNQeTyK7tWKvdoX,0.0425,0.59,181573,0.57,6.07e-06,10,0.332,-4.371,1,0.0378,96.019,4,0.0424
805,G-Eazy,Some Kind Of Drug,68,,82,42417948,1Bqxj0aH5KewYHKUg1IdrF,0.0705,0.586,222467,0.525,0.0,0,0.0729,-8.968,1,0.498,126.51,4,0.491
806,Loren Allred,Never Enough,56,,78,42387565,0Gl5s8IhMmQE5YQwM8Qx1J,0.423,0.277,207787,0.394,0.0,8,0.0952,-8.903,1,0.0336,86.777,3,0.227
